StationID,FromDate,ToDate,Stations,Latitude,Longitude,StationName,State
321,19790101,19951031,789,47.6797,12.0017,Bayrischzell,Bayern
326,20040701,20130707,120,51.7204,8.0577,Beckum-Unterberg,Nordrhein-Westfalen
327,19620901,19961031,27,53.6234,8.8323,Bederkesa,Niedersachsen
330,19370101,20190202,450,49.5617,8.9673,Oberzent-Beerfelden,Hessen
335,19761201,19771031,4,54.3426,10.6018,Behrensdorf,Schleswig-Holstein
342,20101201,20190202,103,52.317,8.1694,Belm,Niedersachsen
348,19900101,20110831,127,50.4135,7.5886,Bendorf,Rheinland-Pfalz
355,19470101,19891031,140,49.6789,8.6276,Bensheim,Hessen
361,19480101,19981231,550,47.6344,13.0109,Berchtesgaden (KKst),Bayern
365,19911001,20020930,421,49.3311,11.4303,Berg-Oberpfalz,Bayern
368,20000701,20190202,70,52.8152,9.9248,Bergen,Niedersachsen
377,19470101,20190202,210,49.107,7.9967,Bergzabern Bad,Rheinland-Pfalz
379,20170901,20190202,303,50.9074,11.2665,Berka Bad (Flugplatz),Th-ringen
386,19730701,19861130,445,51.0454,8.3851,Berleburg Bad,Nordrhein-Westfalen
390,19861201,20190202,610,50.9837,8.3683,Berleburg Bad-St-nzel,Nordrhein-Westfalen
395,19480701,19531231,38,52.4167,13.4833,Berlin-Adlershof,Berlin
399,19810101,20150629,36,52.5198,13.4057,Berlin-Alexanderplatz,Berlin
400,19610101,20190202,60,52.6309,13.5022,Berlin-Buch,Berlin
402,18760101,19621231,55,52.4564,13.2997,Berlin-Dahlem (LFAG),Berlin
403,19500101,20190202,51,52.4537,13.3017,Berlin-Dahlem (FU),Berlin
405,19510401,19541231,37,52.45,13.65,Berlin-Friedrichshagen,Berlin
407,19580101,19780331,48,52.6461,13.2858,Berlin-Frohnau,Berlin
408,19481201,19511130,35,52.5333,13.3833,Berlin-Invalidenstraﬂe,Berlin
410,19960601,20181209,33,52.404,13.7309,Berlin-Kaniswall,Berlin
416,19820701,19960930,47,52.4069,13.4127,Berlin-Lichtenrade,Berlin
417,19360101,19561031,43,52.4144,13.3036,Berlin-Lichterfelde (S-d),Berlin
420,19930501,20190202,60,52.5447,13.5598,Berlin-Marzahn,Berlin
422,19560101,19641231,35,52.5333,13.3833,Berlin-Mitte,Berlin
424,19540101,19801231,36,52.5,13.4667,Berlin-Ostkreuz,Berlin
425,19590101,19820630,38,52.4044,13.4838,Berlin-Rudow,Berlin
427,19670101,20190202,46,52.3807,13.5306,Berlin-Sch-nefeld,Brandenburg
429,19861001,19870131,32,52.5667,13.1694,Berlin-Spandau,Berlin
430,19630101,20190202,36,52.5644,13.3088,Berlin-Tegel,Berlin
432,19780401,19941231,36,52.6044,13.2952,Berlin-Tegeler Fliesstal,Berlin
433,19480101,20190202,48,52.4675,13.4021,Berlin-Tempelhof,Berlin
434,19470101,19601231,35,52.4553,13.4699,Berlin-Treptow,Berlin
435,19640101,20061231,45,52.4289,13.2327,Berlin-Zehlendorf,Berlin
445,18980101,20190202,84,51.8218,11.7109,Bernburg-Saale (Nord),Sachsen-Anhalt
450,19450101,20121204,120,49.9186,7.0664,Bernkastel-Kues,Rheinland-Pfalz
458,19750101,19880331,185,50.0699,7.0306,Bertrich Bad,Rheinland-Pfalz
460,19510101,20190202,363,49.264,6.6868,Berus,Saarland
474,19590101,19860930,599,48.1252,9.7639,Warthausen-Birkenhard,Baden-Wrttemberg
480,19450101,20061231,296,50.9275,8.4935,Biedenkopf-Wallau,Hessen
502,19670801,20061231,412,49.8747,9.4883,Bischbrunn,Bayern
508,19940401,20101231,675,50.0539,11.8149,Bischofsgr-n,Bayern
524,19470101,19921231,80,51.6333,12.3167,Bitterfeld,Sachsen-Anhalt
526,19510101,19751231,254,50.6738,11.2805,Blankenburg Bad,Th-ringen
535,19470101,20190202,417,50.0372,7.3079,Blankenrath,Rheinland-Pfalz
550,19940501,20020930,344,50.9041,11.7985,Bobeck,Th-ringen
553,19540101,19740831,25,51.838,6.6107,Bocholt (Marienschule),Nordrhein-Westfalen
554,19470101,20060228,23,51.8293,6.5365,Bocholt-Liedern (Wasserwerk),Nordrhein-Westfalen
555,19400101,20181031,101,51.4789,7.2697,Bochum,Nordrhein-Westfalen
570,19790101,19811231,648,49.0768,13.0765,Bodenmais-Mais,Bayern
576,19870801,20031231,445,48.6759,8.9732,B-blingen,Baden-Wrttemberg
578,19510301,19661231,379,48.9451,11.3667,B-hming,Bayern
588,19920501,19960731,105,51.752,9.3953,Boffzen,Niedersachsen
591,19470101,20190202,45,53.3911,10.6878,Boizenburg,Mecklenburg-Vorpommern
592,19460101,19621231,10,53.8634,9.7344,Bokel,Schleswig-Holstein
594,19930101,20000229,425,48.6407,9.6136,Boll Bad (KKst),Baden-Wrttemberg
596,19470101,20190202,15,54.0028,11.1908,Boltenhagen,Mecklenburg-Vorpommern
598,19490101,19570831,62,50.7285,7.0839,Bonn,Nordrhein-Westfalen
599,19321001,19990301,62,50.7055,7.1467,Bonn-Friesdorf,Nordrhein-Westfalen
601,20001101,20031031,158,50.6983,7.0356,Bonn-Hardth-he,Nordrhein-Westfalen
603,20000701,20190202,159,50.7349,7.1931,Bonn-Roleber,Nordrhein-Westfalen
604,19710101,20051031,875,47.8194,8.3348,Bonndorf-Schwarzwald,Baden-Wrttemberg
606,19500101,19540731,569,48.0791,10.1977,Boos,Bayern
614,19510101,20071231,240,51.5709,9.312,Borgentreich-B-hne,Nordrhein-Westfalen
617,20040601,20190202,47,51.873,6.8863,Borken in Westfalen,Nordrhein-Westfalen
619,19470101,20060228,12,53.5788,6.6703,Borkum-S-derstraﬂe,Niedersachsen
634,19800301,19910331,373,49.4442,9.6458,Boxberg-Seehof,Baden-Wrttemberg
642,19660101,19931031,1,53.3517,8.4969,Brake,Niedersachsen
643,19931101,19941231,0,53.296,8.4529,Brake-S-derfeld,Niedersachsen
645,19470101,19520131,75,52.4083,7.9682,Bramsche,Niedersachsen
648,19630501,20061231,9,53.8551,9.7152,Brande-H-rnerkirchen,Schleswig-Holstein
650,19480701,20010430,35,52.4136,12.5503,Brandenburg-G-rden,Brandenburg
652,19490101,19580731,384,49.5353,10.7706,Hagenb-chach,Bayern
656,19310101,20190202,607,51.7234,10.6021,Braunlage,Niedersachsen
